HorseName,Rank,HorseNum,Age,Weight,HorseWeight,Top1Win,Top2Win,Distance,S1F,Cornor3,G3F,Cornor4,HorseWin,HorseRankInTop2,HorseRankInTop3,Cutted,Male,Female,Good,Rain,Fog
운해베스트,10,7,4,55,430,35.2,7.1,1400,14.4,38,51,57.3,0,0,0,0,1,0,1,0,0
로열축복,11,6,3,56,472,17.6,7.1,1400,13.9,37.2,50,56.4,0,0,0,0,1,0,1,0,0
수호륭,12,9,3,55,482,35.2,10.7,1400,15.3,39,51.7,58,0,0,0,0,1,0,1,0,0
멋진승부,1,1,3,55,503,19.2,8.6,1400,13.8,36.4,48.9,55.5,1,1,1,0,1,0,1,0,0
선더윈드,2,9,3,55,523,24.9,6.7,1400,14.4,37.6,49.9,56.4,0,1,1,0,1,0,1,0,0
럭키스마일,3,12,3,54,495,5.7,2.2,1400,13.5,35.9,48,54.4,0,0,1,0,0,1,1,0,0
일보등천,4,8,3,56,503,7.8,1.7,1400,14.1,36.8,49.4,55.9,0,0,0,0,1,0,1,0,0
어메이징퀸,5,5,3,53,468,3.6,1,1400,14,37.9,50.5,56.8,0,0,0,0,0,1,1,0,0
알파독,6,7,3,55,513,5,2.6,1400,13.8,36.8,49.4,55.9,0,0,0,1,0,0,1,0,0
어바웃섬싱,7,3,3,53,491,24.9,2.4,1400,14.1,36.8,49.4,55.9,0,0,0,0,0,1,1,0,0
보고또보고,8,4,3,55,520,7.8,3.1,1400,13.8,36.7,49.4,55.9,0,0,0,0,1,0,1,0,0
세명강자,9,11,3,53,452,24.9,12.2,1400,14,37.2,49.7,56.2,0,0,0,0,0,1,1,0,0
코리안펄,10,2,3,55,451,11.4,12.2,1400,15,37.6,49.9,56.3,0,0,0,0,1,0,1,0,0
누비자,11,6,3,53,490,24.9,12.2,1400,13.8,36.4,49,55.6,0,0,0,1,0,0,1,0,0
미스터원더풀,12,10,3,55,573,24.9,12.2,1400,15.3,40.3,53.8,60.9,0,0,0,0,1,0,1,0,0
위시미,1,1,3,53.5,543,9.2,1.8,1300,13,28.9,41,47.4,1,1,1,0,0,1,1,0,0
새로운보배,2,7,4,52,460,13.4,10.8,1300,13.7,30.7,42.7,48.8,0,1,1,0,0,1,1,0,0
자이언트걸,3,2,3,54,472,14.5,3.5,1300,13.7,30.1,42.1,48.3,0,0,1,0,0,1,1,0,0
루이사,4,4,3,53.5,471,8.5,1.9,1300,13.2,29.8,41.9,48.1,0,0,0,0,0,1,1,0,0
라스트매직,5,6,4,53.5,445,11.8,4.4,1300,14.6,31.8,43.6,49.7,0,0,0,0,0,1,1,0,0
라이언여제,6,8,3,53.5,496,4.6,2.4,1300,13.3,30,42.1,48.4,0,0,0,0,0,1,1,0,0
백학,7,3,3,52,467,22.1,8.2,1300,13.6,30.5,43,49.4,0,0,0,0,0,1,1,0,0
빅리버,8,10,3,53,516,10.4,7.8,1300,13.4,30.1,42.7,49.1,0,0,0,0,0,1,1,0,0
원더풀하트,9,12,3,53.5,511,8.4,2.5,1300,13.1,29,41.1,47.5,0,0,0,0,0,1,1,0,0
초동로즈,10,5,4,54.5,501,12.1,14,1300,13.2,29.7,42.7,49.5,0,0,0,0,0,1,1,0,0
마이멤버,11,11,3,54,489,5.4,2,1300,13.1,29.5,42.4,49,0,0,0,0,0,1,1,0,0
신부,12,9,4,56,524,19.8,2.4,1300,13.1,29.2,41.6,48.1,0,0,0,0,0,1,1,0,0
열린문,1,2,3,55,464,1,1.2,1200,13.5,24.2,35.8,42,1,1,1,0,1,0,0,1,0
가자플랜,2,9,3,53.5,473,9999.9,1.9,1200,13.2,23.6,35.3,41.6,0,1,1,0,0,1,0,1,0
더킹클래스,3,7,3,53.5,455,9999.9,3.7,1200,14.2,24.9,36.3,42.5,0,0,1,1,0,0,0,1,0
최고비상,4,3,5,51,479,9999.9,3.7,1200,13.8,24.5,36.1,42.3,0,0,0,1,0,0,0,1,0
글로리파이터,5,1,3,52,524,9999.9,3.7,1200,13.5,24.2,35.8,42,0,0,0,0,0,1,0,1,0
골드필드,6,8,4,53.5,449,9999.9,3.7,1200,13.7,24.5,36.3,42.6,0,0,0,0,0,1,0,1,0
그레이킹덤,7,4,3,55.5,500,9999.9,3.7,1200,14.1,25.2,36.9,43,0,0,0,0,1,0,0,1,0
송암공주,8,6,5,52,451,9999.9,3.7,1200,13.9,24.9,36.7,42.8,0,0,0,0,0,1,0,1,0
메이플문,9,10,4,53.5,483,9999.9,3.7,1200,14.3,25.9,37.7,43.8,0,0,0,0,1,0,0,1,0
로열축복,10,11,3,53,480,9999.9,3.7,1200,13.4,24,35.6,41.8,0,0,0,0,1,0,0,1,0
블랙퓨펄,11,5,4,52,496,9999.9,3.7,1200,13.7,24.6,36.8,43.2,0,0,0,0,0,1,0,1,0
왕탱이,1,1,3,57,481,9.1,1.4,1400,13.6,36.4,49.4,55.7,1,1,1,1,0,0,1,0,0
장산바다,2,9,3,54.5,441,2.6,1.5,1400,13.6,36.5,49.6,56,0,1,1,0,1,0,1,0,0
카빙크로스,3,5,3,54.5,500,11.4,1.4,1400,13.3,36,49.3,55.6,0,0,1,0,1,0,1,0,0
대군옥,4,8,4,52,475,48.7,13.1,1400,14,37.2,49.9,56.4,0,0,0,0,0,1,1,0,0
놀부천하,5,7,3,55.5,485,25.1,6.3,1400,14.3,37.8,50.4,56.9,0,0,0,0,1,0,1,0,0
청담컬링,6,3,3,54,483,13.3,7.7,1400,13.9,37.8,50.4,57,0,0,0,0,1,0,1,0,0
가로수길,7,11,4,54,490,48.7,13.1,1400,14,37.5,50.2,56.7,0,0,0,0,1,0,1,0,0
프리마니케,8,2,4,52,464,48.7,7.7,1400,14.2,38.4,51.1,57.4,0,0,0,0,0,1,1,0,0
가가나,9,4,3,56,530,12.3,1.5,1400,13.8,36.7,49.5,56,0,0,0,0,1,0,1,0,0
광야불기둥,10,10,6,54,440,48.7,13.1,1400,13.7,36.9,49.7,56.3,0,0,0,0,0,1,1,0,0
시선집중,11,6,3,54,486,2.9,9.7,1400,14.4,38.3,50.9,57.3,0,0,0,0,1,0,1,0,0
클린업트리오,12,12,4,57,506,25.1,3.8,1400,14,37.1,49.9,56.6,0,0,0,1,0,0,1,0,0
루킹굿,1,6,4,53.5,492,9.2,1.5,1400,14.4,37.4,49.6,56,1,1,1,0,1,0,1,0,0
질주의꿈,2,7,3,52,509,4.5,1.4,1400,13.5,35.9,48.1,54.5,0,1,1,0,0,1,1,0,0
새내스퍼트,3,1,3,53,503,10.1,3.6,1400,13.7,36.2,48.5,54.8,0,0,1,0,1,0,1,0,0
해들뫼,4,2,4,55,515,13.8,10.1,1400,13.9,36.8,49,55.3,0,0,0,1,0,0,1,0,0
황금해,5,8,3,55,466,6.6,1.4,1400,13.5,35.9,48.1,54.5,0,0,0,0,1,0,1,0,0
슈퍼엑톤,6,10,3,52,425,7.4,4.6,1400,14,37.2,49.5,56,0,0,0,1,0,0,1,0,0
다이아키,7,11,3,52,433,32.1,14.3,1400,14,36.8,49.5,56,0,0,0,0,1,0,1,0,0
장산플라이,8,5,4,57,486,8,14.3,1400,13.8,36.8,49.3,55.7,0,0,0,1,0,0,1,0,0
킹오브선데이,9,4,4,52,487,38.6,10.1,1400,13.8,36.6,49,55.3,0,0,0,0,1,0,1,0,0
럭키명호,10,9,3,54.5,528,10.1,2,1400,13.6,36.6,49,55.4,0,0,0,0,1,0,1,0,0
골드레벨,11,12,4,52,462,48.2,14.3,1400,14.2,36.8,49.3,55.9,0,0,0,0,0,1,1,0,0
스트레토,12,3,3,52,503,6.2,4.6,1400,13.6,36.3,49,55.4,0,0,0,0,1,0,1,0,0
